,tweet,retweets
11022,"#Giletsjaunes : un Français sur deux estime qu’aucun parti ne représente leurs revendications. Le premier parti cité est la @FranceInsoumise, nettement devant le @RNational_off.",15
15532,Mais pourquoi le gouvernement refuse d'entendre parler de violences policières ? Mon article sur @Slatefr pour comprendre les raisons structurelles de ce puissant déni #GiletsJaunes ,15
7349,"Vidéo de Maxime #Nicolle qui veut faire arrêter et juger @EmmanuelMacron. Pour lui, je réclame l'asile (... psychiatrique). #GiletsJaunes ",15
7665,Pierre Bacqué assistera à cette réunion des #giletsjaunes qu’il soutient depuis le début.,15
556,#sondage @elabe_fr @BFMTV ,15
18938,"#ITALIE 🇮🇹 Alors que Paris vient de rappeler son ambassadeur à Rome, occasion est donnée de se repencher sur les décla des officiels italiens. En janvier dernier, nous vous publiions une traduction inédite d'un article de @luigidimaio sur les #GiletsJaunes",15
13822,"Pour l' #ActeXIII , retrouvons la fougue et l'insoumission des débuts :",15
10968,"On est quelques-uns à se demander @CCastaner, nos forces de l’ordre, 13 semaines sans relâche, épuisées, heures supp pas payées, ça se passe comment la lutte contre la délinquance, la vraie je veux dire? #giletsjaunes",15
14154,#acte13 #GiletsJaunes #autun #ChristopheDettinger ,15
2513,C'est le reste de la société qui paie le prix fort.,14
1303,"#Bannon , chef de fil du du populisme à travers le monde, soutient le mouvement des #GiletsJaunes : il se frotte les mains et dénigre E. #Macron qui reste l'un des remparts à l'extrême-droite. ",14
2409,3. ne sont jamais condamnés ;,14
1693, à suivre une action visant à alerter sur la privatisation de ADP ? #GiletsJaunes #ADP #NonALAPrivatisation,14
6001,"⚡🇫🇷INFO - Pour la 3ème semaine consécutive, le soutien des Français à l’égard du mouvement des #Giletsjaunes demeure stable, avec 58% de personnes interrogées portant un regard positif sur le mouvement. (Ifop)",14
7657,#JusticeFiscale,14
7652,1. payent moins que ce qu'ils doivent ;,14
4830,Macron ferait mieux de s'occujper de ce qui se passe chez lui et de sa façon de réprimer les gilets jaunes ! IMacron n'est pas un exemple à suivre ,14
2512,5. ne vont jamais en prison.,14
